run_id,layer,position,feature_idx,frequency,question_ids
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,9,25,766,1,TI-04
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,28,16200,1,TI-04
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,28,15506,1,TI-04
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,16,25,14143,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,25,15770,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,19,25,3304,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,24,25,4640,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,25,9094,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,25,6448,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,22,25,10813,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,8,22,6513,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,25,15506,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,25,16200,1,TI-05
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,28,15770,1,TI-06
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,28,6448,1,TI-06
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,21,28,651,1,TI-06
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,3,2606,1,TI-06
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,19,27,3304,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,16,27,14143,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,27,6448,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,27,15770,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,8,24,6513,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,27,9094,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,17,27,15506,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,27,16200,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,27,10940,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,0,6,15683,1,TI-07
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,18,26,2940,1,TI-08
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,19,26,6538,1,TI-08
