num,base_id,v3_id,family,label,base_tail,v3_tail,sides
112,tri_v2_112,tri_v3_112,numeric_validity,False,true_or_false,false_or_true,"[3, 7, 8]"
114,tri_v2_114,tri_v3_114,geometry_claim,False,true_or_false,false_or_true,
122,tri_v2_122,tri_v3_122,numeric_validity,False,true_or_false,false_or_true,"[7, 24, 25]"
124,tri_v2_124,tri_v3_124,numeric_validity,False,true_or_false,false_or_true,"[3, 6, 7]"
125,tri_v2_125,tri_v3_125,numeric_validity,True,true_or_false,false_or_true,"[7, 24, 25]"
132,tri_v2_132,tri_v3_132,numeric_validity,True,true_or_false,false_or_true,"[10, 12, 15]"
133,tri_v2_133,tri_v3_133,numeric_validity,False,true_or_false,false_or_true,"[2, 2, 3]"
136,tri_v2_136,tri_v3_136,numeric_validity,True,true_or_false,false_or_true,"[6, 8, 9]"
141,tri_v2_141,tri_v3_141,geometry_claim,False,true_or_false,false_or_true,
150,tri_v2_150,tri_v3_150,numeric_validity,True,true_or_false,false_or_true,"[7, 7, 7]"
151,tri_v2_151,tri_v3_151,numeric_validity,False,true_or_false,false_or_true,"[3, 6, 7]"
159,tri_v2_159,tri_v3_159,numeric_validity,False,true_or_false,false_or_true,"[6, 10, 13]"
162,tri_v2_162,tri_v3_162,numeric_validity,False,true_or_false,false_or_true,"[2, 3, 4]"
169,tri_v2_169,tri_v3_169,geometry_claim,True,true_or_false,false_or_true,
170,tri_v2_170,tri_v3_170,numeric_validity,True,true_or_false,false_or_true,"[2, 5, 6]"
173,tri_v2_173,tri_v3_173,geometry_claim,True,true_or_false,false_or_true,
177,tri_v2_177,tri_v3_177,geometry_claim,False,true_or_false,false_or_true,
181,tri_v2_181,tri_v3_181,numeric_validity,False,true_or_false,false_or_true,"[1, 1, 3]"
182,tri_v2_182,tri_v3_182,numeric_validity,False,true_or_false,false_or_true,"[9, 40, 41]"
183,tri_v2_183,tri_v3_183,numeric_validity,False,true_or_false,false_or_true,"[6, 8, 9]"
189,tri_v2_189,tri_v3_189,geometry_claim,True,true_or_false,false_or_true,
194,tri_v2_194,tri_v3_194,numeric_validity,True,true_or_false,false_or_true,"[4, 6, 7]"
195,tri_v2_195,tri_v3_195,geometry_claim,False,true_or_false,false_or_true,
196,tri_v2_196,tri_v3_196,numeric_validity,False,true_or_false,false_or_true,"[6, 8, 9]"
198,tri_v2_198,tri_v3_198,numeric_validity,True,true_or_false,false_or_true,"[4, 4, 4]"
199,tri_v2_199,tri_v3_199,numeric_validity,True,true_or_false,false_or_true,"[8, 15, 17]"
203,tri_v2_203,tri_v3_203,numeric_validity,True,true_or_false,false_or_true,"[5, 6, 9]"
207,tri_v2_207,tri_v3_207,numeric_validity,False,true_or_false,false_or_true,"[3, 9, 13]"
209,tri_v2_209,tri_v3_209,numeric_validity,False,true_or_false,false_or_true,"[5, 5, 8]"
210,tri_v2_210,tri_v3_210,numeric_validity,True,true_or_false,false_or_true,"[3, 5, 6]"
221,tri_v2_221,tri_v3_221,numeric_validity,True,true_or_false,false_or_true,"[5, 5, 5]"
222,tri_v2_222,tri_v3_222,numeric_validity,False,true_or_false,false_or_true,"[2, 3, 4]"
224,tri_v2_224,tri_v3_224,numeric_validity,False,true_or_false,false_or_true,"[3, 6, 7]"
225,tri_v2_225,tri_v3_225,numeric_validity,False,true_or_false,false_or_true,"[10, 24, 26]"
232,tri_v2_232,tri_v3_232,numeric_validity,False,true_or_false,false_or_true,"[7, 7, 7]"
238,tri_v2_238,tri_v3_238,numeric_validity,True,true_or_false,false_or_true,"[3, 7, 8]"
239,tri_v2_239,tri_v3_239,numeric_validity,False,true_or_false,false_or_true,"[9, 40, 41]"
241,tri_v2_241,tri_v3_241,numeric_validity,False,true_or_false,false_or_true,"[12, 35, 37]"
243,tri_v2_243,tri_v3_243,numeric_validity,True,true_or_false,false_or_true,"[15, 15, 2]"
245,tri_v2_245,tri_v3_245,numeric_validity,True,true_or_false,false_or_true,"[12, 35, 37]"
246,tri_v2_246,tri_v3_246,numeric_validity,False,true_or_false,false_or_true,"[5, 5, 8]"
250,tri_v2_250,tri_v3_250,numeric_validity,False,true_or_false,false_or_true,"[4, 6, 7]"
252,tri_v2_252,tri_v3_252,geometry_claim,True,true_or_false,false_or_true,
256,tri_v2_256,tri_v3_256,numeric_validity,True,true_or_false,false_or_true,"[6, 10, 13]"
257,tri_v2_257,tri_v3_257,numeric_validity,False,true_or_false,false_or_true,"[10, 10, 1]"
258,tri_v2_258,tri_v3_258,numeric_validity,False,true_or_false,false_or_true,"[4, 9, 10]"
262,tri_v2_262,tri_v3_262,numeric_validity,False,true_or_false,false_or_true,"[3, 4, 6]"
267,tri_v2_267,tri_v3_267,numeric_validity,True,true_or_false,false_or_true,"[8, 8, 1]"
268,tri_v2_268,tri_v3_268,numeric_validity,True,true_or_false,false_or_true,"[4, 9, 10]"
271,tri_v2_271,tri_v3_271,numeric_validity,True,true_or_false,false_or_true,"[3, 7, 8]"
286,tri_v2_286,tri_v3_286,numeric_validity,False,true_or_false,false_or_true,"[3, 3, 4]"
289,tri_v2_289,tri_v3_289,numeric_validity,True,true_or_false,false_or_true,"[4, 6, 7]"
