phase,category,layer,feat_idx,count,label,url
base_v3,geometry,0,13329,12,"mentions of flat shapes with measurable, geometric sides.",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/13329
base_v3,geometry,1,161,11, technical descriptions of geometric objects and their properties,https://www.neuronpedia.org/gemma-2-2b/1-gemmascope-transcoder-16k/161
base_v3,boolean-logic,4,12613,180, words and phrases that have to do with truth,https://www.neuronpedia.org/gemma-2-2b/4-gemmascope-transcoder-16k/12613
base_v3,boolean-logic,2,1499,180,"the boolean value ""True""",https://www.neuronpedia.org/gemma-2-2b/2-gemmascope-transcoder-16k/1499
base_v3,boolean-logic,24,4640,90, text indicating assertions of truth or falsity,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/4640
base_v3,boolean-logic,17,11405,90,false,https://www.neuronpedia.org/gemma-2-2b/17-gemmascope-transcoder-16k/11405
base_v3,boolean-logic,1,11171,90, boolean values,https://www.neuronpedia.org/gemma-2-2b/1-gemmascope-transcoder-16k/11171
base_v3,boolean-logic,18,2940,90, clauses expressing an opinion or whether something is true,https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/2940
base_v3,boolean-logic,3,16288,90,"the Boolean value ""false"" in code",https://www.neuronpedia.org/gemma-2-2b/3-gemmascope-transcoder-16k/16288
base_v3,boolean-logic,1,14349,90,"boolean values like ""true"" and ""false""",https://www.neuronpedia.org/gemma-2-2b/1-gemmascope-transcoder-16k/14349
base_v3,boolean-logic,2,13635,90,"the word ""false"" and ""boolean"" in code snippets or logic statements",https://www.neuronpedia.org/gemma-2-2b/2-gemmascope-transcoder-16k/13635
base_v3,boolean-logic,6,14586,90, declarations of untruthfulness,https://www.neuronpedia.org/gemma-2-2b/6-gemmascope-transcoder-16k/14586
base_v3,math-general,0,6051,178,"periods, spaces, and the number 1",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/6051
base_v3,math-general,22,5015,90, mathematical equations and calculations,https://www.neuronpedia.org/gemma-2-2b/22-gemmascope-transcoder-16k/5015
base_v3,math-general,24,1764,90, mathematical equations and expressions,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/1764
base_v3,math-general,20,9550,90, symbolic math equations and expressions with derivatives and remainders,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-transcoder-16k/9550
base_v3,math-general,25,4882,90," math problems and related terms like ""derivative"" and ""term""",https://www.neuronpedia.org/gemma-2-2b/25-gemmascope-transcoder-16k/4882
base_v3,math-general,23,5188,90,mathematical and academic references and structures,https://www.neuronpedia.org/gemma-2-2b/23-gemmascope-transcoder-16k/5188
base_v3,math-general,16,10288,90, question prompts that have numerical or mathematical components,https://www.neuronpedia.org/gemma-2-2b/16-gemmascope-transcoder-16k/10288
base_v3,math-general,21,2997,90," mathematical calculations including ""prime factors"" and ""remainder""",https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/2997
base_v3,math-general,24,13323,90, mathematical formulas and references to them,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/13323
base_v3,math-general,20,11619,87," mathematical publications, academic journals, and authors in the field, also paying attention to the structure and formatting typical to citations.",https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-transcoder-16k/11619
base_v3,format-template,0,16200,101,code syntax elements,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/16200
base_v3,format-template,21,10354,90, statements against a hypothesis,https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/10354
base_v3,format-template,21,10599,90,punctuation,https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/10599
base_v3,format-template,24,6127,60," questions and related words involving right and wrong, correctness, and procedures",https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/6127
base_v3,format-template,0,16229,12," the word ""statements""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/16229
base_v3,format-template,1,11660,12, legal and political statements and conclusions,https://www.neuronpedia.org/gemma-2-2b/1-gemmascope-transcoder-16k/11660
base_v3,format-template,24,13277,11, words related to questions and requests,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/13277
base_v3,format-template,16,14449,10, questions,https://www.neuronpedia.org/gemma-2-2b/16-gemmascope-transcoder-16k/14449
base_v3,format-template,0,12698,4,question-answer pairs (or just questions) and import statements,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/12698
base_v3,other,8,6513,192,measurements of accuracy and diagnostic tools,https://www.neuronpedia.org/gemma-2-2b/8-gemmascope-transcoder-16k/6513
base_v3,other,0,2158,152,"the word ""with""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/2158
base_v3,other,23,816,90,"the ends of sentences, especially those expressing sadness, strong opinions or community",https://www.neuronpedia.org/gemma-2-2b/23-gemmascope-transcoder-16k/816
base_v3,other,15,6349,90, words and phrases that have to do with accuracy and correctness,https://www.neuronpedia.org/gemma-2-2b/15-gemmascope-transcoder-16k/6349
base_v3,other,24,5999,90," language related to institutions, negative situations, the internet, and programming languages",https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/5999
base_v3,other,19,3304,90,"the word ""lied"" and words related to it",https://www.neuronpedia.org/gemma-2-2b/19-gemmascope-transcoder-16k/3304
base_v3,other,0,1903,78,"instances of sentences starting with ""The""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/1903
base_v3,other,18,11320,78,"parentheses, brackets, and structured form completion requests",https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/11320
base_v3,other,20,12997,66,"code snippets, tags, and keywords from various programming languages",https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-transcoder-16k/12997
base_v3,other,0,3255,54," the word ""and""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/3255
lora_l1,geometry,1,161,99, technical descriptions of geometric objects and their properties,https://www.neuronpedia.org/gemma-2-2b/1-gemmascope-transcoder-16k/161
lora_l1,geometry,0,14217,57,words with a positive valence and also identifies different sides in a political discussion,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/14217
lora_l1,geometry,0,11224,55,"the word ""sides,"" potentially in the context of opposing viewpoints or groups",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/11224
lora_l1,geometry,0,8254,52,the word 'sides',https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/8254
lora_l1,geometry,0,13329,50,"mentions of flat shapes with measurable, geometric sides.",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/13329
lora_l1,geometry,0,15296,43," the word ""sides""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/15296
lora_l1,geometry,25,14613,30," text found in internet chat logs, specifically lines starting with greater-than signs and potentially user names encased in angle brackets",https://www.neuronpedia.org/gemma-2-2b/25-gemmascope-transcoder-16k/14613
lora_l1,geometry,6,8248,18, words related to geometric shapes and mathematical analysis,https://www.neuronpedia.org/gemma-2-2b/6-gemmascope-transcoder-16k/8248
lora_l1,geometry,16,10626,13," words and phrases related to measuring angles or distances, especially those used in optics and geometry",https://www.neuronpedia.org/gemma-2-2b/16-gemmascope-transcoder-16k/10626
lora_l1,geometry,1,745,12," the word ""side""",https://www.neuronpedia.org/gemma-2-2b/1-gemmascope-transcoder-16k/745
lora_l1,boolean-logic,24,4640,270, text indicating assertions of truth or falsity,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/4640
lora_l1,boolean-logic,21,13859,270," code snippets that have properties like ""true"" or ""false"" and return values",https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/13859
lora_l1,boolean-logic,24,8991,270, code snippets in various languages likely to define boolean logic,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/8991
lora_l1,boolean-logic,21,651,245,assertions and reasoning.,https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/651
lora_l1,boolean-logic,18,15770,187,truth and true,https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/15770
lora_l1,boolean-logic,2,1499,180,"the boolean value ""True""",https://www.neuronpedia.org/gemma-2-2b/2-gemmascope-transcoder-16k/1499
lora_l1,boolean-logic,4,12613,176, words and phrases that have to do with truth,https://www.neuronpedia.org/gemma-2-2b/4-gemmascope-transcoder-16k/12613
lora_l1,boolean-logic,18,2940,173, clauses expressing an opinion or whether something is true,https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/2940
lora_l1,boolean-logic,17,6448,161,True,https://www.neuronpedia.org/gemma-2-2b/17-gemmascope-transcoder-16k/6448
lora_l1,boolean-logic,21,7787,122," mathematical language, including variables, equations, and logical deductions",https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/7787
lora_l1,language-comparative,9,1653,157," questions, answers, and instructions involving one or more choices, particularly in a testing or software development context.",https://www.neuronpedia.org/gemma-2-2b/9-gemmascope-transcoder-16k/1653
lora_l1,language-comparative,0,13474,4,"the word ""than""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/13474
lora_l1,language-comparative,17,9211,1, code snippets including assignment and comparison operators,https://www.neuronpedia.org/gemma-2-2b/17-gemmascope-transcoder-16k/9211
lora_l1,math-general,25,4717,300," common short words such as ""to"", ""from"", ""the"", and ""of"" occurring in close proximity to numbers or other identified keywords.",https://www.neuronpedia.org/gemma-2-2b/25-gemmascope-transcoder-16k/4717
lora_l1,math-general,0,11805,284, mathematical equations often containing trigonometric functions,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/11805
lora_l1,math-general,0,6051,256,"periods, spaces, and the number 1",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/6051
lora_l1,math-general,0,11802,243," mathematical expressions, specifically those involving division, remainders, and calculations.",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/11802
lora_l1,math-general,23,5188,227,mathematical and academic references and structures,https://www.neuronpedia.org/gemma-2-2b/23-gemmascope-transcoder-16k/5188
lora_l1,math-general,0,9026,148,"technical documents or data, including numbers, units, and references to figures or tables.",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/9026
lora_l1,math-general,24,13541,146,"a mix of numbers, measurements, specialized vocabulary, and statistics.",https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/13541
lora_l1,math-general,22,5015,119, mathematical equations and calculations,https://www.neuronpedia.org/gemma-2-2b/22-gemmascope-transcoder-16k/5015
lora_l1,math-general,24,4977,113," content from official documents, especially anything with numbers",https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/4977
lora_l1,math-general,24,1764,105, mathematical equations and expressions,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/1764
lora_l1,format-template,24,13277,292, words related to questions and requests,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/13277
lora_l1,format-template,0,16200,248,code syntax elements,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/16200
lora_l1,format-template,18,6735,159,code snippets and programming syntax,https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/6735
lora_l1,format-template,18,9094,150, direct answers of yes or no to a question,https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/9094
lora_l1,format-template,18,10940,119," question/answer pairs, particularly in a testing or development context",https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/10940
lora_l1,format-template,19,6538,103, question/answer pairs.,https://www.neuronpedia.org/gemma-2-2b/19-gemmascope-transcoder-16k/6538
lora_l1,format-template,16,14449,77, questions,https://www.neuronpedia.org/gemma-2-2b/16-gemmascope-transcoder-16k/14449
lora_l1,format-template,0,12698,74,question-answer pairs (or just questions) and import statements,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/12698
lora_l1,format-template,21,10599,59,punctuation,https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/10599
lora_l1,format-template,21,10354,54, statements against a hypothesis,https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/10354
lora_l1,other,20,12997,509,"code snippets, tags, and keywords from various programming languages",https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-transcoder-16k/12997
lora_l1,other,24,5999,300," language related to institutions, negative situations, the internet, and programming languages",https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/5999
lora_l1,other,0,1903,259,"instances of sentences starting with ""The""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/1903
lora_l1,other,0,11375,214," the word ""is""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/11375
lora_l1,other,25,6905,211," computer code snippets and data structures, possibly related to data storage and error handling",https://www.neuronpedia.org/gemma-2-2b/25-gemmascope-transcoder-16k/6905
lora_l1,other,0,2158,199,"the word ""with""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/2158
lora_l1,other,0,3255,197," the word ""and""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/3255
lora_l1,other,19,3304,186,"the word ""lied"" and words related to it",https://www.neuronpedia.org/gemma-2-2b/19-gemmascope-transcoder-16k/3304
lora_l1,other,8,6513,179,measurements of accuracy and diagnostic tools,https://www.neuronpedia.org/gemma-2-2b/8-gemmascope-transcoder-16k/6513
lora_l1,other,25,15920,170," HTML code for progress bars, buttons, and div tags",https://www.neuronpedia.org/gemma-2-2b/25-gemmascope-transcoder-16k/15920
lora_l2,geometry,0,14217,56,words with a positive valence and also identifies different sides in a political discussion,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/14217
lora_l2,geometry,0,11224,55,"the word ""sides,"" potentially in the context of opposing viewpoints or groups",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/11224
lora_l2,geometry,0,15296,54," the word ""sides""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/15296
lora_l2,geometry,0,8254,54,the word 'sides',https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/8254
lora_l2,geometry,0,13329,37,"mentions of flat shapes with measurable, geometric sides.",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/13329
lora_l2,geometry,1,161,32, technical descriptions of geometric objects and their properties,https://www.neuronpedia.org/gemma-2-2b/1-gemmascope-transcoder-16k/161
lora_l2,geometry,25,14613,30," text found in internet chat logs, specifically lines starting with greater-than signs and potentially user names encased in angle brackets",https://www.neuronpedia.org/gemma-2-2b/25-gemmascope-transcoder-16k/14613
lora_l2,geometry,6,8248,11, words related to geometric shapes and mathematical analysis,https://www.neuronpedia.org/gemma-2-2b/6-gemmascope-transcoder-16k/8248
lora_l2,geometry,16,10626,8," words and phrases related to measuring angles or distances, especially those used in optics and geometry",https://www.neuronpedia.org/gemma-2-2b/16-gemmascope-transcoder-16k/10626
lora_l2,geometry,20,1944,1,parenthetical phrases with numbers inside them in scientific or mathematical contexts,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-transcoder-16k/1944
lora_l2,boolean-logic,21,651,279,assertions and reasoning.,https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/651
lora_l2,boolean-logic,24,4640,270, text indicating assertions of truth or falsity,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/4640
lora_l2,boolean-logic,24,8991,270, code snippets in various languages likely to define boolean logic,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/8991
lora_l2,boolean-logic,4,12613,270, words and phrases that have to do with truth,https://www.neuronpedia.org/gemma-2-2b/4-gemmascope-transcoder-16k/12613
lora_l2,boolean-logic,18,2940,197, clauses expressing an opinion or whether something is true,https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/2940
lora_l2,boolean-logic,21,13859,194," code snippets that have properties like ""true"" or ""false"" and return values",https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/13859
lora_l2,boolean-logic,2,1499,180,"the boolean value ""True""",https://www.neuronpedia.org/gemma-2-2b/2-gemmascope-transcoder-16k/1499
lora_l2,boolean-logic,18,15770,165,truth and true,https://www.neuronpedia.org/gemma-2-2b/18-gemmascope-transcoder-16k/15770
lora_l2,boolean-logic,17,6448,147,True,https://www.neuronpedia.org/gemma-2-2b/17-gemmascope-transcoder-16k/6448
lora_l2,boolean-logic,17,11405,130,false,https://www.neuronpedia.org/gemma-2-2b/17-gemmascope-transcoder-16k/11405
lora_l2,language-comparative,9,1653,183," questions, answers, and instructions involving one or more choices, particularly in a testing or software development context.",https://www.neuronpedia.org/gemma-2-2b/9-gemmascope-transcoder-16k/1653
lora_l2,language-comparative,21,753,30, statistical analyses and comparisons of groups in scientific studies,https://www.neuronpedia.org/gemma-2-2b/21-gemmascope-transcoder-16k/753
lora_l2,language-comparative,17,9211,8, code snippets including assignment and comparison operators,https://www.neuronpedia.org/gemma-2-2b/17-gemmascope-transcoder-16k/9211
lora_l2,language-comparative,0,13474,4,"the word ""than""",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/13474
lora_l2,language-comparative,23,13541,1," words related to events like festivals, ceremonies, sports and crime, with a tendency to activate more strongly for items in a list or description of a sequence of events.",https://www.neuronpedia.org/gemma-2-2b/23-gemmascope-transcoder-16k/13541
lora_l2,math-general,25,4717,300," common short words such as ""to"", ""from"", ""the"", and ""of"" occurring in close proximity to numbers or other identified keywords.",https://www.neuronpedia.org/gemma-2-2b/25-gemmascope-transcoder-16k/4717
lora_l2,math-general,0,6051,277,"periods, spaces, and the number 1",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/6051
lora_l2,math-general,0,11805,216, mathematical equations often containing trigonometric functions,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/11805
lora_l2,math-general,0,9026,186,"technical documents or data, including numbers, units, and references to figures or tables.",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/9026
lora_l2,math-general,23,5188,184,mathematical and academic references and structures,https://www.neuronpedia.org/gemma-2-2b/23-gemmascope-transcoder-16k/5188
lora_l2,math-general,0,11802,176," mathematical expressions, specifically those involving division, remainders, and calculations.",https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/11802
lora_l2,math-general,24,4977,152," content from official documents, especially anything with numbers",https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/4977
lora_l2,math-general,24,13541,139,"a mix of numbers, measurements, specialized vocabulary, and statistics.",https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/13541
lora_l2,math-general,24,1764,90, mathematical equations and expressions,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/1764
lora_l2,math-general,20,9550,89, symbolic math equations and expressions with derivatives and remainders,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-transcoder-16k/9550
lora_l2,format-template,24,13277,285, words related to questions and requests,https://www.neuronpedia.org/gemma-2-2b/24-gemmascope-transcoder-16k/13277
lora_l2,format-template,0,16200,269,code syntax elements,https://www.neuronpedia.org/gemma-2-2b/0-gemmascope-transcoder-16k/16200
lora_l2,format-template,8,10570,197, multiple choice questions,https://www.neuronpedia.org/gemma-2-2b/8-gemmascope-transcoder-16k/10570
lora_l2,format-template,7,12405,185, question statements for a multiple choice question,https://www.neuronpedia.org/gemma-2-2b/7-gemmascope-transcoder-16k/12405
lora_l2,format-template,19,6538,156, question/answer pairs.,https://www.neuronpedia.org/gemma-2-2b/19-gemmascope-transcoder-16k/6538
